Bn;Un;Ln;Cn;Dn;Dn-Cn;n;k
330;19899;7;565226;741015;175789;54000;36;
509;19884;8;570817;787213;216396;54000;37;
474;19841;7;756969;843149;86180;54000;38;
233;19852;7;739501;773181;33680;54000;39;
28;19888;8;623526;927231;303705;54000;40;
153;19885;8;587246;939406;352160;54000;41;
201;19949;7;547153;799765;252612;54000;42;
186;19921;7;592272;823541;231269;54000;43;
198;19906;7;807627;991193;183566;54000;44;
303;19798;8;685173;749137;63964;54000;45;
473;19895;7;545659;782165;236506;54000;46;
392;19806;7;745192;849204;104012;54000;47;
323;19960;7;723340;787511;64171;54000;48;
443;19817;8;641295;986566;345271;54000;49;
301;20268;8;581886;692857;110971;55000;0;
353;20224;7;769525;866169;96644;55000;1;
276;20216;8;663675;762587;98912;55000;2;
32;20199;8;514894;832456;317562;55000;3;
413;20331;8;849810;862602;12792;55000;4;
555;20129;7;576297;681374;105077;55000;5;
369;20183;7;641374;937767;296393;55000;6;
119;20201;7;685595;779798;94203;55000;7;
280;20302;8;562370;764976;202606;55000;8;
402;20297;7;690258;857240;166982;55000;9;
215;20230;7;537626;763055;225429;55000;10;
512;20286;7;672096;713140;41044;55000;11;
211;20197;8;575716;735545;159829;55000;12;
238;20259;8;690755;713683;22928;55000;13;
151;20209;8;662647;764224;101577;55000;14;
507;20311;8;576636;700548;123912;55000;15;
228;20181;8;547950;703036;155086;55000;16;
296;20194;7;536486;822306;285820;55000;17;
619;20153;8;685728;849556;163828;55000;18;
265;20266;7;738447;747102;8655;55000;19;
291;20268;7;624091;763210;139119;55000;20;
311;20351;7;532818;733142;200324;55000;21;
250;20291;7;641655;793742;152087;55000;22;
254;20227;8;628021;731708;103687;55000;23;
526;20222;7;774427;827454;53027;55000;24;
305;20239;7;630083;733096;103013;55000;25;
590;20167;7;595533;830169;234636;55000;26;
280;20227;8;625817;712704;86887;55000;27;
348;20286;8;679061;732658;53597;55000;28;
531;20153;7;591118;727926;136808;55000;29;
214;20192;7;547018;687377;140359;55000;30;
56;20236;7;577194;795810;218616;55000;31;
201;20241;7;586012;816548;230536;55000;32;
251;20263;8;609293;727326;118033;55000;33;
201;20174;8;589762;798954;209192;55000;34;
364;20366;7;604233;728856;124623;55000;35;
280;20222;8;607036;709921;102885;55000;36;
502;20174;9;920328;1040583;120255;55000;37;
307;20297;8;607075;722943;115868;55000;38;
284;20191;7;608904;818847;209943;55000;39;
167;20252;8;599490;748121;148631;55000;40;
357;20296;8;589470;748052;158582;55000;41;
324;20128;8;673034;810953;137919;55000;42;
263;20289;7;663921;783791;119870;55000;43;
158;20194;9;611316;862372;251056;55000;44;
110;20283;7;608124;710200;102076;55000;45;
131;20266;7;704995;763701;58706;55000;46;
308;20255;9;639467;853734;214267;55000;47;
131;20248;9;673721;775278;101557;55000;48;
272;20232;8;573058;692280;119222;55000;49;
495;20612;8;631045;650127;19082;56000;0;
282;20600;7;567387;818506;251119;56000;1;
54;20755;7;616950;816550;199600;56000;2;
425;20626;9;608363;887294;278931;56000;3;
594;20488;7;750289;890076;139787;56000;4;
163;20524;8;660355;703907;43552;56000;5;
161;20585;7;639178;950844;311666;56000;6;
185;20669;9;673594;817103;143509;56000;7;
112;20550;7;662015;776920;114905;56000;8;
271;20684;7;590557;669469;78912;56000;9;
166;20651;8;707564;762047;54483;56000;10;
681;20699;7;545853;693250;147397;56000;11;
117;20587;8;592407;808089;215682;56000;12;
289;20622;7;589190;734074;144884;56000;13;
486;20690;7;639183;768114;128931;56000;14;
189;20640;8;669263;780116;110853;56000;15;
406;20522;7;527510;927679;400169;56000;16;
431;20539;7;721595;802220;80625;56000;17;
81;20699;8;518235;719919;201684;56000;18;
601;20458;7;579868;774069;194201;56000;19;
149;20697;7;620466;797279;176813;56000;20;
631;20642;7;586278;714829;128551;56000;21;
173;20610;7;618107;767853;149746;56000;22;
354;20704;7;777941;824297;46356;56000;23;
363;20613;7;756659;775875;19216;56000;24;
388;20599;8;596914;744490;147576;56000;25;
262;20625;7;555163;829935;274772;56000;26;
246;20693;8;604650;800909;196259;56000;27;
430;20670;8;548081;758858;210777;56000;28;
512;20584;7;682515;813855;131340;56000;29;
211;20504;7;586996;749683;162687;56000;30;
371;20519;8;564721;872947;308226;56000;31;
417;20505;7;545039;862406;317367;56000;32;
131;20636;8;694959;817886;122927;56000;33;
111;20490;7;657467;751546;94079;56000;34;
378;20604;8;759978;765058;5080;56000;35;
132;20538;7;660201;760794;100593;56000;36;
195;20639;9;567800;808319;240519;56000;37;
386;20658;7;609044;742579;133535;56000;38;
273;20538;7;848678;853879;5201;56000;39;
412;20545;8;680895;850626;169731;56000;40;
415;20607;8;785574;821271;35697;56000;41;
461;20594;7;588255;848182;259927;56000;42;
260;20727;8;634614;806236;171622;56000;43;
302;20603;9;623950;770618;146668;56000;44;
248;20503;8;662511;801523;139012;56000;45;
468;20543;8;649938;815167;165229;56000;46;
458;20640;7;625473;856170;230697;56000;47;
345;20643;8;672820;976417;303597;56000;48;
113;20418;6;591122;720036;128914;56000;49;
255;20971;7;609388;715822;106434;57000;0;
198;20911;7;684531;841631;157100;57000;1;
355;20920;8;591013;793755;202742;57000;2;
327;20920;7;781317;802386;21069;57000;3;
226;20944;7;729100;753812;24712;57000;4;
73;21130;7;614849;869513;254664;57000;5;
394;20817;8;893054;916777;23723;57000;6;
365;20935;7;641386;878689;237303;57000;7;
37;21138;8;719989;966174;246185;57000;8;
171;21042;7;649072;739093;90021;57000;9;
135;21100;8;1018514;1136754;118240;57000;10;
272;20878;8;697782;773326;75544;57000;11;
476;20958;7;622675;900389;277714;57000;12;
240;20998;7;593771;939230;345459;57000;13;
312;21063;8;513307;779757;266450;57000;14;
484;20997;7;607722;636000;28278;57000;15;
23;20994;8;562295;860757;298462;57000;16;
94;21013;8;621705;671328;49623;57000;17;
266;21051;7;631623;804082;172459;57000;18;
158;21090;9;579143;772757;193614;57000;19;
183;20975;7;623151;787609;164458;57000;20;
428;20967;7;551339;850829;299490;57000;21;
277;20917;7;631854;755104;123250;57000;22;
213;20920;7;544094;852689;308595;57000;23;
559;20857;9;701258;773178;71920;57000;24;
272;21005;7;732922;750490;17568;57000;25;
349;20929;7;524110;860435;336325;57000;26;
290;21050;7;646402;750714;104312;57000;27;
256;20974;7;584100;787160;203060;57000;28;
159;20903;7;641007;732949;91942;57000;29;
223;21062;7;655908;727276;71368;57000;30;
244;20943;8;634247;837145;202898;57000;31;
284;20908;7;553511;841502;287991;57000;32;
346;20925;8;661182;843256;182074;57000;33;
61;20983;7;729254;737277;8023;57000;34;
237;20990;9;689939;787068;97129;57000;35;
388;20967;7;717249;764409;47160;57000;36;
379;20968;7;628269;800570;172301;57000;37;
302;20971;9;950287;980772;30485;57000;38;
326;20912;7;562767;679645;116878;57000;39;
268;21035;7;669559;778573;109014;57000;40;
375;20929;7;657109;816966;159857;57000;41;
494;20989;8;622542;795557;173015;57000;42;
349;20908;7;623549;895846;272297;57000;43;
214;20935;8;657135;926492;269357;57000;44;
60;21091;7;613131;782567;169436;57000;45;
252;20924;7;692463;867883;175420;57000;46;
251;21057;8;591817;740553;148736;57000;47;
444;20984;7;650974;786579;135605;57000;48;
252;20951;7;837475;898742;61267;57000;49;
516;21335;7;847910;889636;41726;58000;0;
165;21412;8;745944;803744;57800;58000;1;
448;21291;7;677635;859862;182227;58000;2;
506;21422;8;587059;956693;369634;58000;3;
818;21395;8;795412;825142;29730;58000;4;
305;21281;8;633801;778272;144471;58000;5;
88;21323;7;669492;737762;68270;58000;6;
406;21461;7;579634;807180;227546;58000;7;
37;21168;8;699174;701188;2014;58000;8;
442;21213;8;587616;756887;169271;58000;9;
136;21331;7;545449;938355;392906;58000;10;
304;21303;7;724108;826201;102093;58000;11;
653;21315;7;797046;878579;81533;58000;12;
586;21428;8;598147;793330;195183;58000;13;
238;21285;8;583948;771052;187104;58000;14;
435;21329;10;601825;812767;210942;58000;15;
77;21355;8;649970;822277;172307;58000;16;
123;21337;7;708909;762810;53901;58000;17;
481;21246;7;703737;814450;110713;58000;18;
305;21332;8;839870;890950;51080;58000;19;
343;21406;8;636410;788448;152038;58000;20;
87;21302;8;640532;833424;192892;58000;21;
505;21313;8;637109;816290;179181;58000;22;
580;21378;8;747835;839918;92083;58000;23;
277;21347;7;662526;786812;124286;58000;24;
210;21266;7;662271;737268;74997;58000;25;
234;21367;7;741790;942916;201126;58000;26;
154;21385;8;622885;740500;117615;58000;27;
249;21305;7;617663;706058;88395;58000;28;
162;21455;8;650239;803270;153031;58000;29;
108;21384;7;783244;851244;68000;58000;30;
455;21263;7;683836;798783;114947;58000;31;
125;21386;7;600046;927374;327328;58000;32;
549;21427;7;738840;846272;107432;58000;33;
401;21210;7;678862;742122;63260;58000;34;
224;21356;9;679275;804703;125428;58000;35;
198;21297;8;660966;791152;130186;58000;36;
254;21319;7;608441;1059076;450635;58000;37;
473;21319;8;748694;1003072;254378;58000;38;
109;21400;8;614003;844760;230757;58000;39;
328;21410;7;611381;864291;252910;58000;40;
377;21292;7;783892;891902;108010;58000;41;
101;21507;7;667529;805005;137476;58000;42;
115;21393;7;807575;881295;73720;58000;43;
356;21305;8;622646;832233;209587;58000;44;
176;21278;7;719728;821002;101274;58000;45;
281;21390;8;674690;764155;89465;58000;46;
194;21202;7;623607;808196;184589;58000;47;
612;21464;7;690012;808132;118120;58000;48;
437;21285;7;531577;825292;293715;58000;49;
356;21750;7;630471;907108;276637;59000;0;
297;21892;8;640322;734599;94277;59000;1;
259;21640;8;592653;862417;269764;59000;2;
266;21642;9;667813;1186498;518685;59000;3;
171;21814;7;672762;781693;108931;59000;4;
345;21671;7;758887;825058;66171;59000;5;
580;21800;7;654033;862811;208778;59000;6;
156;21677;7;604646;852196;247550;59000;7;
211;21784;7;690493;809701;119208;59000;8;
151;21660;8;639620;750818;111198;59000;9;
303;21714;8;678929;785335;106406;59000;10;
586;21633;8;568816;761082;192266;59000;11;
126;21666;8;621754;759424;137670;59000;12;
323;21748;7;600873;833907;233034;59000;13;
476;21651;7;744955;860881;115926;59000;14;
124;21679;8;676109;950604;274495;59000;15;
620;21740;7;796271;905796;109525;59000;16;
576;21723;8;614386;748878;134492;59000;17;
590;21643;7;672114;793021;120907;59000;18;
500;21742;8;734153;854977;120824;59000;19;
665;21765;8;608053;809775;201722;59000;20;
423;21777;7;731542;770223;38681;59000;21;
501;21679;7;668922;835219;166297;59000;22;
295;21788;8;661847;824158;162311;59000;23;
179;21666;7;702564;894933;192369;59000;24;
448;21576;8;621403;851804;230401;59000;25;
451;21607;8;670130;827854;157724;59000;26;
322;21631;8;670029;777214;107185;59000;27;
339;21816;7;596765;702626;105861;59000;28;
160;21653;7;593313;734181;140868;59000;29;
548;21610;7;624542;975359;350817;59000;30;
131;21699;7;628783;808074;179291;59000;31;
343;21857;7;761068;806752;45684;59000;32;
174;21723;7;663420;809675;146255;59000;33;
120;21807;9;716696;869477;152781;59000;34;
357;21714;8;715898;813573;97675;59000;35;
259;21689;7;572803;911204;338401;59000;36;
309;21697;7;744152;865317;121165;59000;37;
447;21610;7;747120;771489;24369;59000;38;
227;21756;8;674561;872538;197977;59000;39;
101;21681;7;718473;880621;162148;59000;40;
581;21645;10;698817;888784;189967;59000;41;
655;21720;8;635596;832239;196643;59000;42;
98;21823;8;605233;842994;237761;59000;43;
549;21744;7;573369;893999;320630;59000;44;
360;21668;8;822127;866404;44277;59000;45;
182;21863;7;606770;756719;149949;59000;46;
314;21714;8;698224;930123;231899;59000;47;
164;21709;8;817319;840454;23135;59000;48;
168;21582;7;677543;821299;143756;59000;49;
255;22131;7;760372;850873;90501;60000;0;
172;21979;7;698026;1047536;349510;60000;1;
71;22053;7;711430;818763;107333;60000;2;
328;22136;7;722301;935123;212822;60000;3;
279;22104;8;765523;782422;16899;60000;4;
367;22038;7;740185;800258;60073;60000;5;
217;21979;8;819375;889168;69793;60000;6;
172;22131;8;645819;787229;141410;60000;7;
295;22092;7;685139;963458;278319;60000;8;
435;22080;9;688384;813753;125369;60000;9;
359;22152;7;668672;815794;147122;60000;10;
303;22141;7;656462;799124;142662;60000;11;
389;22117;8;634804;911048;276244;60000;12;
217;21918;7;798517;868081;69564;60000;13;
285;22173;8;967636;973871;6235;60000;14;
360;22186;7;735717;839800;104083;60000;15;
350;22093;7;678033;770158;92125;60000;16;
593;22021;7;784861;871726;86865;60000;17;
380;22104;8;830597;889907;59310;60000;18;
124;22144;9;711988;808693;96705;60000;19;
245;22130;7;677856;793262;115406;60000;20;
184;22194;7;627673;897939;270266;60000;21;
87;22060;8;606306;901352;295046;60000;22;
384;22254;8;834498;927577;93079;60000;23;
187;22129;7;591179;958240;367061;60000;24;
287;21964;8;733251;910036;176785;60000;25;
149;21954;7;701602;834864;133262;60000;26;
460;22117;8;607394;738455;131061;60000;27;
129;22055;7;659340;898359;239019;60000;28;
717;21959;10;788008;875268;87260;60000;29;
392;22053;8;764944;916807;151863;60000;30;
695;21994;8;739602;871341;131739;60000;31;
397;22222;8;682993;867204;184211;60000;32;
296;22043;9;650320;968195;317875;60000;33;
493;22084;7;638483;885572;247089;60000;34;
353;22018;7;644769;803632;158863;60000;35;
260;22114;8;894633;1083604;188971;60000;36;
334;22074;7;612819;843076;230257;60000;37;
62;21945;7;630196;746860;116664;60000;38;
520;21951;10;630113;879604;249491;60000;39;
410;22047;9;636279;919273;282994;60000;40;
135;21967;7;587665;865222;277557;60000;41;
287;22106;8;665584;953958;288374;60000;42;
253;21976;8;791652;881786;90134;60000;43;
433;22066;7;735266;1011426;276160;60000;44;
461;22162;8;610701;901278;290577;60000;45;
652;22024;8;660403;839441;179038;60000;46;
328;22103;8;714305;909994;195689;60000;47;
481;22062;9;728286;826750;98464;60000;48;
154;22096;7;673399;773860;100461;60000;49;
394;22371;7;637757;817421;179664;61000;0;
448;22397;7;664759;927500;262741;61000;1;
354;22505;7;808700;999019;190319;61000;2;
394;22436;7;738349;879508;141159;61000;3;
282;22311;7;679661;852107;172446;61000;4;
291;22334;8;763989;1102044;338055;61000;5;
481;22314;8;727343;839564;112221;61000;6;
361;22605;7;715225;798745;83520;61000;7;
435;22379;8;657014;763953;106939;61000;8;
292;22354;6;715960;841912;125952;61000;9;
91;22473;7;887113;933555;46442;61000;10;
592;22466;9;668553;850460;181907;61000;11;
348;22489;7;730261;823004;92743;61000;12;
315;22507;7;723825;823244;99419;61000;13;
110;22335;7;656244;918962;262718;61000;14;
524;22468;7;617019;774640;157621;61000;15;
166;22446;7;754958;923977;169019;61000;16;
238;22375;7;618460;860691;242231;61000;17;
265;22519;8;718013;942577;224564;61000;18;
368;22360;8;742567;815188;72621;61000;19;
498;22466;7;750069;894734;144665;61000;20;
247;22583;8;692853;793954;101101;61000;21;
110;22553;7;783938;943454;159516;61000;22;
280;22428;7;684872;926721;241849;61000;23;
344;22473;7;621226;845406;224180;61000;24;
708;22471;7;820125;957285;137160;61000;25;
242;22431;7;647109;909467;262358;61000;26;
393;22408;8;627780;883434;255654;61000;27;
50;22329;7;657161;788868;131707;61000;28;
247;22522;8;664976;1013481;348505;61000;29;
294;22504;7;690799;960051;269252;61000;30;
373;22433;7;644881;795825;150944;61000;31;
423;22432;8;793792;916851;123059;61000;32;
183;22508;8;709076;882359;173283;61000;33;
430;22296;8;700437;853325;152888;61000;34;
562;22440;8;729128;774592;45464;61000;35;
803;22436;7;622816;822964;200148;61000;36;
486;22403;8;668536;855371;186835;61000;37;
148;22468;7;670446;749896;79450;61000;38;
127;22165;7;690355;884588;194233;61000;39;
357;22435;7;663227;940888;277661;61000;40;
633;22496;7;593682;791446;197764;61000;41;
452;22547;7;741244;915786;174542;61000;42;
369;22356;8;758146;908211;150065;61000;43;
170;22429;7;911845;927176;15331;61000;44;
363;22472;8;667545;885275;217730;61000;45;
307;22372;7;721019;792299;71280;61000;46;
565;22593;7;687512;804754;117242;61000;47;
231;22508;8;700551;854269;153718;61000;48;
495;22620;7;634495;866630;232135;61000;49;
559;22736;9;676505;802814;126309;62000;0;
350;22758;7;594592;899232;304640;62000;1;
218;22782;7;717198;795667;78469;62000;2;
361;22895;7;611394;860228;248834;62000;3;
288;22833;7;653276;844887;191611;62000;4;
329;22833;7;633859;780878;147019;62000;5;
421;22725;9;716721;965057;248336;62000;6;
219;22768;8;687298;867170;179872;62000;7;
504;22867;8;719174;912089;192915;62000;8;
252;22794;8;800880;829518;28638;62000;9;
435;22708;7;628567;896575;268008;62000;10;
161;22808;8;722773;881619;158846;62000;11;
342;22694;7;721449;894294;172845;62000;12;
395;22924;7;642002;836673;194671;62000;13;
296;22829;8;706436;799569;93133;62000;14;
781;22666;8;705629;1033776;328147;62000;15;
50;22729;7;649085;838671;189586;62000;16;
363;22838;8;818124;903544;85420;62000;17;
238;22752;8;690411;945638;255227;62000;18;
328;22972;7;659275;817682;158407;62000;19;
100;22791;9;697016;820574;123558;62000;20;
248;22932;8;658982;882468;223486;62000;21;
522;22742;7;788556;822516;33960;62000;22;
177;22962;7;750144;847298;97154;62000;23;
312;22869;7;706919;877882;170963;62000;24;
246;22811;8;693179;864906;171727;62000;25;
191;22788;8;621761;934377;312616;62000;26;
221;22816;8;656364;788510;132146;62000;27;
541;22681;8;745362;844143;98781;62000;28;
317;22698;7;730448;869100;138652;62000;29;
116;22744;8;613506;982749;369243;62000;30;
348;22781;8;670899;875825;204926;62000;31;
374;22969;7;784419;990416;205997;62000;32;
151;22664;8;685416;928173;242757;62000;33;
808;22746;7;647068;924300;277232;62000;34;
567;22711;8;690837;854670;163833;62000;35;
478;22753;8;780541;972319;191778;62000;36;
335;22880;7;675120;872471;197351;62000;37;
344;22844;7;817663;849320;31657;62000;38;
659;22789;8;825630;831605;5975;62000;39;
166;22670;7;692491;913659;221168;62000;40;
430;22824;8;694249;1008214;313965;62000;41;
365;22784;7;644267;869769;225502;62000;42;
133;22814;7;682160;905456;223296;62000;43;
213;22674;7;696934;919852;222918;62000;44;
381;22879;9;695303;886980;191677;62000;45;
739;22845;8;728013;949280;221267;62000;46;
315;22844;7;679591;959969;280378;62000;47;
325;22707;8;663131;978294;315163;62000;48;
730;22809;8;794380;861921;67541;62000;49;
164;23068;7;758071;955115;197044;63000;0;
136;23224;8;765969;799908;33939;63000;1;
343;23039;8;842523;862397;19874;63000;2;
305;23266;7;689683;760530;70847;63000;3;
224;23196;8;806771;915349;108578;63000;4;
197;23214;9;894759;932590;37831;63000;5;
138;23278;7;748346;997151;248805;63000;6;
191;23086;7;727229;823872;96643;63000;7;
664;23110;7;694164;752415;58251;63000;8;
85;23285;8;739991;1074823;334832;63000;9;
525;23128;8;749487;787206;37719;63000;10;
70;23146;9;678103;867514;189411;63000;11;
526;23386;7;680572;896779;216207;63000;12;
258;23156;8;666643;868510;201867;63000;13;
449;23221;7;752711;1028764;276053;63000;14;
456;23217;8;745966;935452;189486;63000;15;
307;23137;9;675074;873264;198190;63000;16;
168;22986;7;631253;781651;150398;63000;17;
408;23165;7;670480;780605;110125;63000;18;
383;23093;8;780384;928636;148252;63000;19;
290;22933;8;923487;1026271;102784;63000;20;
475;23208;7;866399;925046;58647;63000;21;
83;23224;7;620733;849569;228836;63000;22;
464;23126;7;735504;883664;148160;63000;23;
196;23160;7;605217;950131;344914;63000;24;
307;23274;8;624915;918525;293610;63000;25;
69;23143;7;646470;963574;317104;63000;26;
163;23034;7;727412;987431;260019;63000;27;
433;23179;8;659073;923048;263975;63000;28;
531;23227;7;897612;1102953;205341;63000;29;
60;23116;8;652892;914867;261975;63000;30;
54;23237;8;764753;1069330;304577;63000;31;
111;23108;7;839835;842020;2185;63000;32;
341;23173;7;720851;823001;102150;63000;33;
432;23016;7;762205;905263;143058;63000;34;
753;23211;9;875829;942019;66190;63000;35;
186;23207;7;679337;881959;202622;63000;36;
408;23172;7;813230;967119;153889;63000;37;
325;23157;7;714247;871797;157550;63000;38;
372;23236;8;655556;970546;314990;63000;39;
267;23185;8;601324;909211;307887;63000;40;
212;23130;7;637316;989740;352424;63000;41;
289;23143;8;764790;947354;182564;63000;42;
217;23091;7;745397;1025486;280089;63000;43;
606;23199;8;771716;806494;34778;63000;44;
435;23306;8;764408;967289;202881;63000;45;
335;23222;9;839537;1032161;192624;63000;46;
223;23120;7;743032;877112;134080;63000;47;
370;23176;7;794507;884507;90000;63000;48;
319;23179;7;1009344;1068189;58845;63000;49;
174;23525;7;726705;913389;186684;64000;0;
122;23563;8;660542;883187;222645;64000;1;
328;23554;7;762380;925777;163397;64000;2;
463;23623;8;812402;1118905;306503;64000;3;
339;23642;9;732379;890484;158105;64000;4;
308;23473;7;835819;863927;28108;64000;5;
1002;23528;7;799649;812904;13255;64000;6;
531;23748;7;834401;853630;19229;64000;7;
285;23612;7;645657;791489;145832;64000;8;
292;23585;8;668994;1238188;569194;64000;9;
173;23429;7;708156;921388;213232;64000;10;
399;23489;8;788791;915969;127178;64000;11;
535;23614;7;777942;980559;202617;64000;12;
247;23570;8;959628;1038067;78439;64000;13;
629;23439;8;679499;888285;208786;64000;14;
646;23457;8;856135;971639;115504;64000;15;
265;23445;7;692741;875083;182342;64000;16;
209;23589;7;715855;824525;108670;64000;17;
385;23422;8;726993;865016;138023;64000;18;
361;23491;8;715524;1089330;373806;64000;19;
442;23494;7;845566;1141054;295488;64000;20;
408;23578;8;810592;900986;90394;64000;21;
136;23465;8;627692;832975;205283;64000;22;
324;23548;7;689810;965735;275925;64000;23;
340;23533;8;746229;908555;162326;64000;24;
296;23444;8;949860;968699;18839;64000;25;
680;23579;7;870247;872931;2684;64000;26;
442;23490;7;663856;944238;280382;64000;27;
111;23473;8;678648;899228;220580;64000;28;
205;23581;8;686023;793557;107534;64000;29;
194;23647;8;719837;952573;232736;64000;30;
490;23413;7;843445;892116;48671;64000;31;
433;23565;7;871724;1026672;154948;64000;32;
533;23429;7;886643;937116;50473;64000;33;
357;23502;7;802239;917493;115254;64000;34;
301;23552;8;723462;964940;241478;64000;35;
162;23639;7;735606;861232;125626;64000;36;
149;23573;7;670435;923677;253242;64000;37;
342;23675;7;783353;943761;160408;64000;38;
114;23569;7;851316;962450;111134;64000;39;
377;23558;7;997656;1039512;41856;64000;40;
384;23541;7;675388;768752;93364;64000;41;
469;23530;8;962929;1029137;66208;64000;42;
250;23610;8;734459;975390;240931;64000;43;
191;23652;9;815258;896809;81551;64000;44;
62;23564;8;806293;825118;18825;64000;45;
246;23524;8;738346;917095;178749;64000;46;
306;23515;7;721303;849377;128074;64000;47;
217;23604;7;739260;846594;107334;64000;48;
157;23644;7;727979;883823;155844;64000;49;
149;23950;7;741991;894330;152339;65000;0;
541;23976;7;823307;865187;41880;65000;1;
161;23826;8;661952;819859;157907;65000;2;
522;23911;7;888404;939194;50790;65000;3;
334;23856;8;787191;947227;160036;65000;4;
588;23891;8;653102;890476;237374;65000;5;
568;23905;8;768164;1048870;280706;65000;6;
478;23915;7;861157;1037544;176387;65000;7;
481;23793;8;737205;981673;244468;65000;8;
476;23921;8;878648;926461;47813;65000;9;
413;23982;8;653336;915887;262551;65000;10;
222;23981;8;755236;849448;94212;65000;11;
312;23969;7;781893;1037769;255876;65000;12;
261;23976;7;647131;905701;258570;65000;13;
155;23759;7;778604;918852;140248;65000;14;
250;23875;8;773760;879588;105828;65000;15;
633;23803;8;836956;990661;153705;65000;16;
854;23975;9;743004;887314;144310;65000;17;
136;23981;8;767894;822740;54846;65000;18;
271;23882;8;700708;936852;236144;65000;19;
464;23943;7;807791;1195964;388173;65000;20;
375;23973;8;793511;896014;102503;65000;21;
230;23975;7;702008;990869;288861;65000;22;
298;24068;8;682662;957177;274515;65000;23;
66;23922;7;909424;934340;24916;65000;24;
202;23903;7;681446;802938;121492;65000;25;
157;23965;7;757604;1123310;365706;65000;26;
127;23937;7;822712;919186;96474;65000;27;
97;23908;7;698125;850510;152385;65000;28;
291;23951;9;643286;1007787;364501;65000;29;
241;23874;8;705625;825306;119681;65000;30;
239;23895;8;787187;948772;161585;65000;31;
607;23915;8;871379;1089277;217898;65000;32;
229;23885;9;768285;975767;207482;65000;33;
289;23888;7;701817;865331;163514;65000;34;
201;23879;7;661077;887530;226453;65000;35;
109;23990;7;759811;1013552;253741;65000;36;
133;23992;7;766280;935394;169114;65000;37;
636;23871;7;662079;856489;194410;65000;38;
471;23936;8;857559;1014637;157078;65000;39;
351;23843;8;721100;828930;107830;65000;40;
236;23894;8;708775;1052933;344158;65000;41;
250;23842;8;673287;912875;239588;65000;42;
626;23855;7;676135;859952;183817;65000;43;
427;23774;8;644874;831138;186264;65000;44;
300;24019;7;751406;1007517;256111;65000;45;
175;23952;8;699598;848684;149086;65000;46;
411;23946;8;737372;907854;170482;65000;47;
312;23973;8;677127;918858;241731;65000;48;
325;23884;8;716199;983759;267560;65000;49;
510;24307;7;689114;879061;189947;66000;0;
234;24307;7;779276;813675;34399;66000;1;
211;24194;7;730101;883146;153045;66000;2;
257;24275;8;728653;939618;210965;66000;3;
267;24331;8;940473;978793;38320;66000;4;
341;24340;8;959924;973611;13687;66000;5;
99;24317;8;714284;986270;271986;66000;6;
501;24300;7;731780;902360;170580;66000;7;
78;24295;8;764133;845210;81077;66000;8;
521;24307;6;765502;1088835;323333;66000;9;
296;24377;8;919212;1044609;125397;66000;10;
132;24328;7;804316;956286;151970;66000;11;
83;24125;7;909267;1038048;128781;66000;12;
363;24234;8;759633;902893;143260;66000;13;
117;24324;8;800889;914418;113529;66000;14;
89;24360;8;642066;916697;274631;66000;15;
443;24191;8;778823;885405;106582;66000;16;
144;24244;8;806063;1023101;217038;66000;17;
363;24194;7;757743;1088038;330295;66000;18;
269;24370;7;725862;1021424;295562;66000;19;
437;24431;8;835173;898010;62837;66000;20;
564;24300;7;682097;856853;174756;66000;21;
187;24186;7;808755;1010667;201912;66000;22;
40;24370;8;709979;892318;182339;66000;23;
544;24163;8;794423;967094;172671;66000;24;
154;24281;8;898815;920298;21483;66000;25;
93;24194;8;824789;904314;79525;66000;26;
192;24164;8;815161;875772;60611;66000;27;
267;24276;9;792629;926554;133925;66000;28;
354;24317;7;722476;1038275;315799;66000;29;
659;24375;7;796539;1007180;210641;66000;30;
323;24271;7;817716;966179;148463;66000;31;
391;24270;7;610705;846397;235692;66000;32;
228;24292;9;756273;1018072;261799;66000;33;
247;24238;8;732012;945223;213211;66000;34;
444;24245;7;692678;893844;201166;66000;35;
445;24402;8;744055;889829;145774;66000;36;
281;24366;8;714122;843211;129089;66000;37;
387;24355;7;751623;914937;163314;66000;38;
346;24370;8;819659;865927;46268;66000;39;
521;24297;7;861259;1067621;206362;66000;40;
360;24269;7;635145;881781;246636;66000;41;
180;24248;9;870483;1074725;204242;66000;42;
73;24304;8;797732;890629;92897;66000;43;
121;24210;8;700381;859196;158815;66000;44;
395;24451;7;821172;862722;41550;66000;45;
261;24287;7;772538;910868;138330;66000;46;
388;24377;7;692158;903222;211064;66000;47;
171;24196;8;789095;871599;82504;66000;48;
453;24177;9;787087;857939;70852;66000;49;
241;24678;8;767028;1119551;352523;67000;0;
321;24670;8;811665;957251;145586;67000;1;
546;24807;8;909793;973502;63709;67000;2;
571;24628;7;745738;875284;129546;67000;3;
465;24639;9;784253;963562;179309;67000;4;
244;24711;7;738996;1021817;282821;67000;5;
291;24554;7;704236;906432;202196;67000;6;
77;24696;7;870737;1123454;252717;67000;7;
465;24633;7;682693;931078;248385;67000;8;
543;24604;7;780931;944456;163525;67000;9;
96;24685;7;720744;1353802;633058;67000;10;
128;24687;8;750780;950886;200106;67000;11;
535;24492;8;691570;920179;228609;67000;12;
173;24594;8;674762;942234;267472;67000;13;
222;24739;7;936254;973614;37360;67000;14;
369;24609;8;733839;921924;188085;67000;15;
110;24502;8;757734;991803;234069;67000;16;
285;24611;7;734187;1000723;266536;67000;17;
