Bn;Un;Ln;Cn;Dn;Dn-Cn;n;k
59;2172;7;57003;63787;6784;6000;36;
166;2163;7;52825;70919;18094;6000;37;
85;2228;6;60651;78390;17739;6000;38;
120;2213;6;59030;76491;17461;6000;39;
137;2207;7;44126;73937;29811;6000;40;
79;2190;6;52172;66172;14000;6000;41;
147;2200;6;47385;69009;21624;6000;42;
155;2199;7;54184;61683;7499;6000;43;
31;2225;8;52283;64368;12085;6000;44;
155;2186;6;62958;65300;2342;6000;45;
99;2230;5;59401;67555;8154;6000;46;
40;2202;7;62645;86954;24309;6000;47;
119;2182;6;53100;67751;14651;6000;48;
85;2218;6;50593;59355;8762;6000;49;
179;2569;6;72502;83469;10967;7000;0;
146;2552;6;56659;77859;21200;7000;1;
100;2591;6;62150;78694;16544;7000;2;
85;2532;6;72195;98321;26126;7000;3;
110;2609;6;69272;73926;4654;7000;4;
73;2569;6;73475;90153;16678;7000;5;
129;2572;6;60572;82864;22292;7000;6;
73;2566;6;83922;96065;12143;7000;7;
93;2615;6;69567;100840;31273;7000;8;
66;2584;6;58745;73208;14463;7000;9;
120;2633;7;63433;72837;9404;7000;10;
34;2537;6;64507;80980;16473;7000;11;
227;2583;7;59325;78700;19375;7000;12;
190;2595;7;68493;96469;27976;7000;13;
15;2600;6;65911;80883;14972;7000;14;
47;2603;7;81431;93406;11975;7000;15;
82;2558;7;65046;92941;27895;7000;16;
77;2612;7;59363;80060;20697;7000;17;
67;2555;7;61257;87300;26043;7000;18;
59;2602;6;76505;86122;9617;7000;19;
80;2539;6;66972;87835;20863;7000;20;
24;2518;7;73145;79660;6515;7000;21;
91;2554;7;60299;74273;13974;7000;22;
100;2581;5;60531;85761;25230;7000;23;
106;2543;7;56645;86467;29822;7000;24;
98;2542;6;55843;71102;15259;7000;25;
45;2573;7;56251;82385;26134;7000;26;
60;2582;7;53307;71422;18115;7000;27;
164;2579;6;56323;83994;27671;7000;28;
126;2519;6;62027;88422;26395;7000;29;
271;2605;6;61975;84142;22167;7000;30;
168;2575;6;75826;81319;5493;7000;31;
37;2593;6;60194;83309;23115;7000;32;
69;2581;7;66673;74324;7651;7000;33;
178;2563;6;53175;87970;34795;7000;34;
20;2604;7;69813;74777;4964;7000;35;
71;2594;8;56060;75781;19721;7000;36;
131;2569;6;50943;88667;37724;7000;37;
117;2550;6;82771;102683;19912;7000;38;
88;2572;6;65192;99126;33934;7000;39;
188;2530;7;65656;93698;28042;7000;40;
126;2511;7;62211;81780;19569;7000;41;
94;2582;7;83433;90991;7558;7000;42;
113;2563;8;58552;77171;18619;7000;43;
202;2606;6;61018;91385;30367;7000;44;
50;2648;6;62785;77309;14524;7000;45;
40;2547;6;55240;79314;24074;7000;46;
86;2536;7;50819;82472;31653;7000;47;
29;2619;6;66315;85557;19242;7000;48;
87;2559;6;55842;100356;44514;7000;49;
86;2914;7;81933;110707;28774;8000;0;
172;2982;6;71803;90344;18541;8000;1;
129;2959;6;68936;86135;17199;8000;2;
26;2975;6;64409;98884;34475;8000;3;
184;2934;7;56395;83520;27125;8000;4;
246;2936;6;88852;95509;6657;8000;5;
142;2936;6;68119;83409;15290;8000;6;
181;2936;6;91678;94517;2839;8000;7;
164;2951;7;74109;83776;9667;8000;8;
198;2969;6;73855;77886;4031;8000;9;
82;2951;7;73597;88989;15392;8000;10;
90;2909;6;65207;86485;21278;8000;11;
59;2926;6;85639;96504;10865;8000;12;
46;3018;6;76821;95053;18232;8000;13;
180;2930;6;65787;89290;23503;8000;14;
173;2881;6;69660;102898;33238;8000;15;
80;2893;6;87215;89412;2197;8000;16;
59;2966;7;82759;96109;13350;8000;17;
73;2940;7;67915;103474;35559;8000;18;
78;2928;6;67455;85708;18253;8000;19;
51;2930;7;66560;98014;31454;8000;20;
120;2928;6;75022;103419;28397;8000;21;
56;2947;6;71108;85692;14584;8000;22;
178;2964;6;69517;94745;25228;8000;23;
115;2937;6;82541;92413;9872;8000;24;
29;2928;6;78466;88741;10275;8000;25;
72;2903;7;65414;118304;52890;8000;26;
69;2926;6;85904;94881;8977;8000;27;
211;3000;7;97830;102268;4438;8000;28;
237;2903;7;70683;90076;19393;8000;29;
43;2925;6;78024;87952;9928;8000;30;
130;2900;7;74546;85162;10616;8000;31;
104;2937;6;81154;93180;12026;8000;32;
35;2932;6;77732;88038;10306;8000;33;
51;2982;7;79590;105800;26210;8000;34;
42;2962;6;67155;113246;46091;8000;35;
208;2957;6;72741;100973;28232;8000;36;
110;2944;6;75356;111402;36046;8000;37;
126;2949;8;73358;82559;9201;8000;38;
153;3001;7;71671;82357;10686;8000;39;
42;2927;7;85032;92140;7108;8000;40;
155;2961;6;84511;102777;18266;8000;41;
97;2985;6;104693;108547;3854;8000;42;
81;2924;6;77101;105912;28811;8000;43;
248;2895;6;77745;129768;52023;8000;44;
134;2943;6;80519;92357;11838;8000;45;
108;2939;7;76301;91153;14852;8000;46;
64;2933;7;82677;108185;25508;8000;47;
83;2934;6;71422;84157;12735;8000;48;
196;2962;6;69076;81178;12102;8000;49;
34;3342;6;93283;116038;22755;9000;0;
183;3331;6;116603;159197;42594;9000;1;
90;3384;10;94795;111875;17080;9000;2;
180;3315;6;76665;106009;29344;9000;3;
255;3256;6;141372;141465;93;9000;4;
94;3293;6;79081;103968;24887;9000;5;
147;3293;8;89182;136756;47574;9000;6;
112;3283;7;91880;114300;22420;9000;7;
102;3313;7;81089;107925;26836;9000;8;
117;3310;6;82737;130889;48152;9000;9;
165;3300;6;82261;103501;21240;9000;10;
232;3354;7;85036;109647;24611;9000;11;
190;3305;6;101369;111689;10320;9000;12;
78;3321;7;84760;90497;5737;9000;13;
58;3310;7;75283;95644;20361;9000;14;
121;3292;7;81466;116864;35398;9000;15;
182;3257;7;90443;123922;33479;9000;16;
36;3244;6;76860;122005;45145;9000;17;
95;3274;6;93200;100627;7427;9000;18;
121;3351;7;94854;104901;10047;9000;19;
131;3325;6;79253;118145;38892;9000;20;
112;3257;6;99421;107631;8210;9000;21;
47;3364;6;64435;111048;46613;9000;22;
126;3309;6;84441;111499;27058;9000;23;
112;3293;6;78415;99344;20929;9000;24;
139;3283;6;103062;114729;11667;9000;25;
74;3325;6;85910;109370;23460;9000;26;
93;3275;6;73586;101460;27874;9000;27;
141;3308;6;79152;121519;42367;9000;28;
279;3328;7;109179;113906;4727;9000;29;
92;3315;6;101532;124355;22823;9000;30;
199;3351;6;93531;105051;11520;9000;31;
81;3328;6;79801;97071;17270;9000;32;
120;3298;6;87569;94514;6945;9000;33;
75;3318;6;84590;100743;16153;9000;34;
121;3318;6;95033;103626;8593;9000;35;
175;3338;7;70955;89110;18155;9000;36;
119;3313;7;92371;98830;6459;9000;37;
95;3328;6;73043;96092;23049;9000;38;
172;3324;7;83864;108137;24273;9000;39;
154;3306;6;96656;109781;13125;9000;40;
182;3275;6;98296;113791;15495;9000;41;
56;3301;7;72385;120207;47822;9000;42;
33;3279;6;83841;97754;13913;9000;43;
126;3308;7;69137;93473;24336;9000;44;
269;3328;7;75761;101192;25431;9000;45;
167;3312;7;72721;96332;23611;9000;46;
137;3346;7;95226;107658;12432;9000;47;
39;3315;8;86131;104788;18657;9000;48;
97;3259;7;82580;97412;14832;9000;49;
29;3662;7;98572;105489;6917;10000;0;
47;3670;6;102042;115761;13719;10000;1;
54;3704;7;114623;130016;15393;10000;2;
